model,page,rule,width,gold,answer,bucket,group
GPT,/works/contact/,R7,,該当なし,該当なし,除外,計測
GPT,/works/contact/,R8,,非違反,NO,TN,計測
GPT,/works/contact/,R9,,違反,YES,TP,計測
GPT,/works/contact/,R10,,違反,YES,TP,計測
GPT,/works/guide/,R1,,非違反,YES,FP,計測
GPT,/works/guide/,R2,375,非違反,NO,TN,目視
GPT,/works/guide/,R2,1280,違反,YES,TP,目視
GPT,/works/guide/,R3,,非違反,NO,TN,計測
GPT,/works/guide/,R4,,非違反,NO,TN,目視
GPT,/works/guide/,R5,,該当なし,該当なし,除外,目視
GPT,/works/guide/,R6,,該当なし,該当なし,除外,計測
GPT,/works/guide/,R7,,該当なし,該当なし,除外,計測
GPT,/works/guide/,R8,,非違反,NO,TN,計測
GPT,/works/guide/,R9,,違反,YES,TP,計測
GPT,/works/guide/,R10,,違反,YES,TP,計測
GPT,/works/guide/outsourced-unfinished/,R1,,非違反,YES,FP,計測
GPT,/works/guide/outsourced-unfinished/,R2,375,非違反,NO,TN,目視
GPT,/works/guide/outsourced-unfinished/,R2,1280,非違反,NO,TN,目視
GPT,/works/guide/outsourced-unfinished/,R3,,違反,YES,TP,計測
GPT,/works/guide/outsourced-unfinished/,R4,,非違反,NO,TN,目視
GPT,/works/guide/outsourced-unfinished/,R5,,該当なし,該当なし,除外,目視
GPT,/works/guide/outsourced-unfinished/,R6,,該当なし,該当なし,除外,計測
GPT,/works/guide/outsourced-unfinished/,R7,,該当なし,該当なし,除外,計測
GPT,/works/guide/outsourced-unfinished/,R8,,非違反,NO,TN,計測
GPT,/works/guide/outsourced-unfinished/,R9,,違反,YES,TP,計測
GPT,/works/guide/outsourced-unfinished/,R10,,違反,YES,TP,計測
GPT,/works/cases/integrity-warning/,R1,,違反,NO,FN,計測
GPT,/works/cases/integrity-warning/,R2,375,非違反,NO,TN,目視
GPT,/works/cases/integrity-warning/,R2,1280,非違反,NO,TN,目視
GPT,/works/cases/integrity-warning/,R3,,非違反,NO,TN,計測
GPT,/works/cases/integrity-warning/,R4,,非違反,NO,TN,目視
GPT,/works/cases/integrity-warning/,R5,,該当なし,該当なし,除外,目視
GPT,/works/cases/integrity-warning/,R6,,違反,YES,TP,計測
GPT,/works/cases/integrity-warning/,R7,,違反,YES,TP,計測
GPT,/works/cases/integrity-warning/,R8,,非違反,NO,TN,計測
GPT,/works/cases/integrity-warning/,R9,,違反,YES,TP,計測
GPT,/works/cases/integrity-warning/,R10,,違反,YES,TP,計測
